GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US39001,39001,"Adams County, Ohio",28550,28554,28562,28522,28358,28140,28135,28016,27907
0500000US39003,39003,"Allen County, Ohio",106331,106326,106395,105939,105295,105129,104944,104210,103742
0500000US39005,39005,"Ashland County, Ohio",53139,53139,53319,53261,53247,53193,53244,53380,53652
0500000US39007,39007,"Ashtabula County, Ohio",101497,101488,101394,101080,100251,99739,99112,98544,98231
0500000US39009,39009,"Athens County, Ohio",64757,64772,65221,65102,64605,64432,64592,65699,66186
0500000US39011,39011,"Auglaize County, Ohio",45949,45949,45932,45812,45869,45886,45860,45847,45894
0500000US39013,39013,"Belmont County, Ohio",70400,70402,70318,70055,69612,69494,69324,69039,68673
0500000US39015,39015,"Brown County, Ohio",44846,44843,44878,44661,44392,44240,44081,43825,43759
0500000US39017,39017,"Butler County, Ohio",368130,368135,369078,370199,370651,371092,373451,375459,377537
0500000US39019,39019,"Carroll County, Ohio",28836,28836,28825,28894,28587,28305,28188,27790,27669
0500000US39021,39021,"Champaign County, Ohio",40097,40097,40060,39873,39574,39463,39094,38998,38747
0500000US39023,39023,"Clark County, Ohio",138333,138333,138245,137754,137172,136689,136412,135815,134786
0500000US39025,39025,"Clermont County, Ohio",197363,197363,197708,198566,199195,200158,201295,201791,203022
0500000US39027,39027,"Clinton County, Ohio",42040,42037,41903,41912,41828,41868,41819,41852,41902
0500000US39029,39029,"Columbiana County, Ohio",107841,107841,107858,107238,106417,105801,105563,104683,103685
0500000US39031,39031,"Coshocton County, Ohio",36901,36898,36927,36909,36818,36750,36568,36587,36602
0500000US39033,39033,"Crawford County, Ohio",43784,43785,43770,43303,42828,42744,42441,42330,42083
0500000US39035,39035,"Cuyahoga County, Ohio",1280122,1280109,1278326,1269895,1265611,1263334,1260226,1255025,1249352
0500000US39037,39037,"Darke County, Ohio",52959,52959,52962,52666,52496,52330,52221,52100,51778
0500000US39039,39039,"Defiance County, Ohio",39037,39027,39103,39029,38829,38559,38545,38349,38158
0500000US39041,39041,"Delaware County, Ohio",174214,174189,175148,178526,181128,185225,189282,192884,196463
0500000US39043,39043,"Erie County, Ohio",77079,77079,77036,76664,76455,76132,75876,75471,75107
0500000US39045,39045,"Fairfield County, Ohio",146156,146177,146408,147328,147500,148900,150492,151326,152597
0500000US39047,39047,"Fayette County, Ohio",29030,29028,29013,28908,28838,28754,28683,28646,28676
0500000US39049,39049,"Franklin County, Ohio",1163414,1163529,1166371,1180021,1197640,1214774,1233388,1250269,1264518
0500000US39051,39051,"Fulton County, Ohio",42698,42698,42614,42467,42452,42326,42560,42477,42514
0500000US39053,39053,"Gallia County, Ohio",30934,30946,31093,31002,30843,30569,30345,30110,30015
0500000US39055,39055,"Geauga County, Ohio",93389,93410,93416,93395,93862,93960,94123,94095,94060
0500000US39057,39057,"Greene County, Ohio",161573,161577,161612,163595,164421,163805,164599,164036,164765
0500000US39059,39059,"Guernsey County, Ohio",40087,40091,40117,39862,39836,39627,39594,39269,39063
0500000US39061,39061,"Hamilton County, Ohio",802374,802368,802284,800621,802326,804172,806480,807748,809099
0500000US39063,39063,"Hancock County, Ohio",74782,74789,74687,75062,75638,75738,75380,75734,75872
0500000US39065,39065,"Hardin County, Ohio",32058,32060,32101,31815,31639,31740,31776,31632,31474
0500000US39067,39067,"Harrison County, Ohio",15864,15862,15846,15800,15703,15625,15546,15424,15307
0500000US39069,39069,"Henry County, Ohio",28215,28215,28116,28227,28074,28077,27887,27783,27629
0500000US39071,39071,"Highland County, Ohio",43589,43600,43608,43432,43034,43281,43181,43018,43029
