,,Uninsured adults,,,
State,County,# Uninsured,% Uninsured,95% CI - Low,95% CI - High
Ohio,,1109148,16,16,16
Ohio,Adams,3107,19,16,21
Ohio,Allen,9570,16,14,18
Ohio,Ashland,5074,17,15,19
Ohio,Ashtabula,10468,18,16,20
Ohio,Athens,7192,18,16,21
Ohio,Auglaize,3293,12,11,14
Ohio,Belmont,6469,16,14,18
Ohio,Brown,4663,18,16,20
Ohio,Butler,34135,15,14,17
Ohio,Carroll,2945,18,16,20
Ohio,Champaign,3360,14,13,16
Ohio,Clark,13568,17,15,19
Ohio,Clermont,15929,13,12,14
Ohio,Clinton,3914,16,14,18
Ohio,Columbiana,11266,18,16,20
Ohio,Coshocton,4194,19,17,22
Ohio,Crawford,4151,17,15,19
Ohio,Cuyahoga,126083,16,15,17
Ohio,Darke,4957,17,15,18
Ohio,Defiance,3506,16,14,17
Ohio,Delaware,9927,9,8,10
Ohio,Erie,7083,16,14,17
Ohio,Fairfield,11810,13,12,15
Ohio,Fayette,2934,17,15,19
Ohio,Franklin,139596,18,17,19
Ohio,Fulton,3727,15,13,16
Ohio,Gallia,3026,17,15,19
Ohio,Geauga,8008,15,13,16
Ohio,Greene,12799,13,12,15
Ohio,Guernsey,3971,17,15,19
Ohio,Hamilton,80709,16,15,18
Ohio,Hancock,6385,14,12,16
Ohio,Hardin,2936,16,14,19
Ohio,Harrison,1547,17,15,19
Ohio,Henry,2375,14,13,16
Ohio,Highland,4779,19,17,21
Ohio,Hocking,2899,17,15,19
Ohio,Holmes,7033,30,27,33
Ohio,Huron,6194,18,16,20
Ohio,Jackson,3383,17,15,19
Ohio,Jefferson,6197,15,14,17
Ohio,Knox,5797,17,15,19
Ohio,Lake,19155,14,12,15
Ohio,Lawrence,6106,16,14,18
Ohio,Licking,14723,15,13,16
Ohio,Logan,4469,17,14,19
Ohio,Lorain,27070,15,14,17
Ohio,Lucas,47676,18,16,19
Ohio,Madison,3477,15,13,17
Ohio,Mahoning,21052,15,14,17
Ohio,Marion,6182,17,15,19
Ohio,Medina,12482,12,11,13
Ohio,Meigs,2573,18,16,20
Ohio,Mercer,3262,14,12,16
Ohio,Miami,9076,15,13,16
Ohio,Monroe,1323,16,14,18
Ohio,Montgomery,54932,17,16,19
Ohio,Morgan,1616,18,16,21
Ohio,Morrow,3417,16,14,18
Ohio,Muskingum,8467,17,15,18
Ohio,Noble,1131,16,14,18
Ohio,Ottawa,3379,14,12,16
Ohio,Paulding,1830,16,14,18
Ohio,Perry,3965,18,16,20
Ohio,Pickaway,4783,15,13,17
Ohio,Pike,2883,17,15,19
Ohio,Portage,14187,14,13,16
Ohio,Preble,3882,16,14,17
Ohio,Putnam,2394,12,11,13
Ohio,Richland,11489,17,15,19
Ohio,Ross,6888,16,14,17
Ohio,Sandusky,5547,16,14,17
Ohio,Scioto,8140,18,16,20
Ohio,Seneca,5141,16,14,18
Ohio,Shelby,4059,14,12,16
Ohio,Stark,34124,15,14,17
Ohio,Summit,50977,15,14,17
Ohio,Trumbull,21557,18,16,19
Ohio,Tuscarawas,9632,18,16,19
Ohio,Union,3457,11,10,13
Ohio,Van Wert,2483,15,13,17
Ohio,Vinton,1442,17,15,20
Ohio,Warren,14261,11,10,12
Ohio,Washington,6074,17,15,19
Ohio,Wayne,11644,18,16,19
Ohio,Williams,3240,15,13,17
Ohio,Wood,10578,13,12,15
Ohio,Wyandot,1965,15,13,17
